name	author	publisher	date	price	rate	comment
麦田里的守望者	[美国] J. D. 塞林格 	 译林出版社 	 2007-3 	 28.00元	8.1	反英雄霍尔顿的一生
无声告白	[美] 伍绮诗 	 江苏凤凰文艺出版社 	 2015-7 	 35.00元	8.2	莉迪亚死了，可他们还不知道
嫌疑人X的献身	（日）东野圭吾 	 南海出版公司 	2009年11月	 19.80元	9	东野说，这是最纯粹的爱情
山楂树之恋	艾米 	 江苏文艺出版社 	 2007-9 	 25.00元	7.8	明净单纯
华胥引（全二册）	唐七公子 	 现代出版社 	 2011-1 	 39.80元	8.5	现实不如梦中的圆满
地下铁	幾米 	 辽宁教育出版社 	 2002-2 	 32.00元	8.3	黑暗世界中的点滴亮光
且听风吟	[日] 村上春树 	 上海译文出版社 	 2001-8 	 11.80元	7.8	我们通过孤独与世界沟通
钢铁是怎样炼成的	[苏] 尼·奥斯特洛夫斯基 	 译林出版社 	 1996-10 	 20.00元	7.6	激情燃烧的岁月，特殊年代的经典
红玫瑰与白玫瑰	张爱玲 	 花城出版社 	 1996-06 	 12.80元	8.4	蚊子血还是饭黏子？
人生若只如初见	安意如 	 天津教育出版社 	 2006-8 	 23.80元	7.2	是“何事秋风悲画扇”，不是西风
人间失格	太宰治 	 吉林出版集团有限责任公司 	2009年9月	 16.00元	8.3	令人无从怜悯的绝望
鬼吹灯之精绝古城	天下霸唱 	 安徽文艺出版社 	2006	?25.00 	8.1	盗墓祖师名不虚传
安徒生童话故事集	（丹麦）安徒生 	 人民文学出版社 	 1997-08 	?25.00 	9.2	远不是童话那么简单
呐喊	鲁迅 	 人民文学出版社 	1973年3月	 0.36元	8.8	新文学的第一声呐喊
小团圆	张爱玲 	 北京十月文艺出版社 	 2009-4 	?28.00 	7.6	自传性作品，团圆只存在幻灭之中
泡沫之夏	明晓溪 	 新世界出版社 	 2006-3 	 20.00元	6.9	霸道总裁爱上我
会有天使替我爱你	明晓溪 	 新世界出版社 	 2005-5 	 20.00元	6.6	理想化
1984	[英] 乔治·奥威尔 	 北京十月文艺出版社 	 2010-4-1 	?28.00 	9.3	栗树荫下，我出卖你，你出卖我
年华是无效信	落落 	 春风文艺出版社 	 2005-2 	 20.00元	7.6	女生间的微妙友谊
幻夜	〔日〕东野圭吾 	 南海出版公司 	2009年9月	 28.00元	7.5	《白夜行》续篇，恶的幻夜吞噬一切
在路上	[美] 杰克·凯鲁亚克 	 上海译文出版社 	 2006-10 	 28.00元	7.8	我们非去不可，在到达之前，永不停止
射雕英雄传（全四册）	金庸 	 生活·读书·新知三联书店 	 1999-04 	 47.00元	8.9	侠之大者，为国为民
明朝那些事儿（1-9）	当年明月 	 中国海关出版社 	 2009-4 	 358.20元	9.1	不拘一格的历史书写
月亮忘記了	幾米 	 格林 	 2000-2-1 	 NT$ 299	8.6	月明星稀的晚上，看不见的，看见了
明朝那些事儿（叁）	当年明月 	 中国友谊出版公司 	 2007-4 	?24.80 	8.9	圣人般的王守仁，大娱乐家朱厚照
哭泣的骆驼	三毛 	 哈尔滨出版社 	 2003-6 	 15.80元	8.9	沙漠中寻常的生与死
原来你还在这里	辛夷坞 	 朝华出版社 	 2007-10 	 25.00元	7.6	还在的只有回忆
半生缘	张爱玲 	 北京十月文艺出版社 	 2006-12 	 28.00元	8.6	世钧，我们回不去了
此间的少年	江南 	 华文出版社 	 2004-1 	 25.00元	8.4	象牙塔里的金庸群侠
货币战争	宋鸿兵 编著 	 中信出版社 	 2007-6 	 38.00元	7.2	无所不能的罗斯柴尔德家族
佳期如梦	匪我思存 	 新世界出版社 	 2007-2 	 20.00元	7.9	玛丽苏成人童话
人类简史	[以色列]尤瓦尔·赫拉利 	 中信出版社 	 2014-11-1 	 CNY 68.00	9.1	空
无人生还	[英] 阿加莎?克里斯蒂 	 人民文学出版社 	 2008-3 	?19.00 	8.9	童谣杀人案
一個人住第5年	高木直子 	 大田 	 2004-12-1 	 NT$220	8.4	独居生活之乐
了不起的盖茨比	菲茨杰拉德 	 人民文学出版社 	 2004-06 	 12.00元	8.3	梦，就像黛西家的那一缕绿光
时间旅行者的妻子	[美] 奥德丽·尼芬格 	 人民文学出版社 	 2007-4 	 29.90元	8.1	在时间的缝隙中穿行，然后相遇
告别薇安	安妮宝贝 	 中国社会科学出版社 	 2000-1 	?19.00 	7.5	七月与安生
常识	梁文道 	 广西师范大学出版社 	 2009-1 	?38.00 	8.1	献给这个常识稀缺的时代
爱你就像爱生命	王小波 	 上海锦绣文章出版社 	 2008-5 	 18.00元	8.8	王小波与李银河的两地书
撒哈拉的故事	三毛 	 北京十月文艺出版社 	 2011-1-7 	 24.00元	9.3	不枉来这世上走一遭
步步惊心	桐华 	 民族出版社 	 2006-6 	 25.00元	8.1	现世太苦，不如穿越回去从头来过
皮囊	蔡崇达 	 天津人民出版社 	 2014-12-1 	 39.80元	7.7	皮囊之下，骨肉相连
二三事	安妮宝贝 	 南海出版公司 	 2004-1 	 20.00元	7.7	关于遗忘和记得的故事
兄弟（下）	余华 	 上海文艺出版社 	 2006-3 	 27.00元	7.4	失控边缘的下部，但谁说荒诞就是不真
孤独六讲	蒋勋 	 广西师范大学出版社 	 2009-10-1 	 36.00元	8.1	作为一种美学的孤独
乌合之众	(法)古斯塔夫.勒庞 	 中央编译出版社 	 1998-01 	 16.00元	8.3	群氓心理剖析
盗墓笔记2	南派三叔 	 中国友谊出版公司 	 2007-4 	 26.80元	8.2	秦岭神树细思极恐
明朝那些事儿（肆）	当年明月 	 中国友谊出版公司 	 2007-9 	?24.80 	8.8	大明朝当真名士如云
失恋33天	鲍鲸鲸 	 中信出版社 	 2010-1 	 25.00元	8.1	失恋是一种病，痊愈之后百毒不侵
动物农场	[英] 乔治·奥威尔 	 上海译文出版社 	 2007-3 	 10.00元	9.2	太阳底下并无新事
左耳	饶雪漫 	 当代世界出版社 	 2006-2 	 22.00元	7	当时只道是寻常
鹿鼎记（全五册）	金庸 	 广州出版社 花城出版社 	 2008-3 	 108.00元	8.8	武侠的解构，流氓的狂欢
荆棘鸟	[澳] 考琳·麦卡洛 	 译林出版社 	 1998-7 	 28.00元	8.6	澳洲乱世情
左手倒影，右手年华。	郭敬明 	 上海译文出版社 	 2003-5 	 16.00元	6.7	明媚啊明媚
零下一度	韩寒 	 上海人民出版社 	 2000-08 	?12.00 	7.2	青春期习作
像少年啦飞驰	韩寒 	 作家出版社 	 2002-1 	 16.00元	7.3	属于少年的日子飞驰而过
寻路中国	[美] 彼得·海斯勒 	 上海译文出版社 	 2011-1 	 33.00元	9	中国在路上，非虚构写作所能达到的高度
被窝是青春的坟墓	七堇年 	 长江文艺出版社 	 2007-11 	 22.00元	7.7	“要有最朴素的生活，与最遥远的梦想“
我们台湾这些年	廖信忠 	 重庆出版集团 	 2009-11 	 29.80元	7.4	平民视角下的台湾大事记
1Q84 BOOK 3	[日] 村上春树 	 南海出版公司 	 2011-1 	 39.50元	7.6	兜了一大圈，村上还是回归了他的小确幸
关于莉莉周的一切	[日] 岩井俊二 	 天津人民出版社 	 2006-12 	 28.00元	7.7	残酷青春的艰难呼吸
机器猫哆啦A梦23	藤子?F?不二雄 	 吉林美术出版社 	 1999-12 	?8.00 	9.5	满满的回忆
阿Q正传	鲁迅 	 上海书店出版社 	 2003-7 	 14.50元	8.7	哀其不幸，怒其不争
乖，摸摸头	大冰 	 湖南文艺出版社 	 2014-9-1 	 36.00元	7.4	他人的生活总是比你的精彩
大地之灯	七堇年 	 长江文艺出版社 	 2007-1 	 22.00元	8.2	两代人的成长与救赎
摆渡人	[英]克莱儿·麦克福尔 	 百花洲文艺出版社 	 2015-6-1 	?36.00 	6.3	空
黄金时代	王小波 	 陕西师范大学出版社 	 2009-07-01 	 23.00元	8.9	永远生猛下去
明朝那些事儿（伍）	当年明月 	 中国友谊出版公司 	 2008-3 	?28.80 	8.8	内忧外患之际，你方唱罢我登场
骆驼祥子	老舍 	 人民文学出版社 	 2000-3-1 	?12.00 	8.2	如骆驼喘息般深刻的绝望
盗墓笔记3	南派三叔 	 中国友谊出版公司 	 2007-11 	 26.80元	8.4	逼近死亡的云顶天宫之旅
麦琪的礼物	[美] 欧·亨利 	 上海社会科学院出版社 	 2003-7 	 25.00元	8.6	日常的奇迹
格林童话全集	格林兄弟 	 人民文学出版社 	 1994-11 	 21.45元	8.9	许多隐晦
如何阅读一本书	[美] 莫提默·J. 艾德勒 	 商务印书馆 	 2004-1 	 38.00元	8.4	读书的方法论
当我们谈论爱情时我们在谈论什么	[美] 雷蒙德·卡佛 	 译林出版社 	 2010-1 	 22.00元	7.8	疏离而断裂，生活的冷与干涩
尘埃落定	阿来 	 人民文学出版社 	 1998-3-1 	?22.00 	8.4	一个傻子的土司家族传奇
水仙已乘鲤鱼去	张悦然 	 作家出版社 	 2005-1 	 19.00元	7.8	暴食与减肥的桥段印象深刻
